




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6399963 Released 2022-03-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20589)	upload_1 (42)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment (GO:1901295)	2	2	.00	+	 > 100	2.42E-05	9.30E-04
astrocyte-dopaminergic neuron signaling (GO:0036520)	3	3	.01	+	 > 100	1.56E-07	1.06E-05
umbilical cord morphogenesis (GO:0036304)	2	2	.00	+	 > 100	2.42E-05	9.28E-04
regulation of canonical Wnt signaling pathway involved in heart development (GO:1905066)	2	2	.00	+	 > 100	2.42E-05	9.26E-04
arterial endothelial cell fate commitment (GO:0060844)	2	2	.00	+	 > 100	2.42E-05	9.23E-04
umbilical cord development (GO:0061027)	2	2	.00	+	 > 100	2.42E-05	9.21E-04
arterial endothelial cell differentiation (GO:0060842)	6	5	.01	+	 > 100	1.25E-11	2.36E-09
inner ear receptor cell fate commitment (GO:0060120)	4	3	.01	+	 > 100	2.73E-07	1.72E-05
auditory receptor cell fate commitment (GO:0009912)	4	3	.01	+	 > 100	2.73E-07	1.71E-05
glial cell-neuron signaling (GO:0150098)	4	3	.01	+	 > 100	2.73E-07	1.70E-05
mesenchymal stem cell differentiation (GO:0072497)	3	2	.01	+	 > 100	4.03E-05	1.44E-03
negative regulation of transcription from RNA polymerase II promoter involved in smooth muscle cell differentiation (GO:2000820)	3	2	.01	+	 > 100	4.03E-05	1.44E-03
canonical Wnt signaling pathway involved in osteoblast differentiation (GO:0044339)	3	2	.01	+	 > 100	4.03E-05	1.44E-03
canonical Wnt signaling pathway involved in mesenchymal stem cell differentiation (GO:0044338)	3	2	.01	+	 > 100	4.03E-05	1.43E-03
epidermal cell fate specification (GO:0009957)	3	2	.01	+	 > 100	4.03E-05	1.43E-03
positive regulation of midbrain dopaminergic neuron differentiation (GO:1904958)	3	2	.01	+	 > 100	4.03E-05	1.43E-03
cardiac vascular smooth muscle cell development (GO:0060948)	3	2	.01	+	 > 100	4.03E-05	1.42E-03
blood vessel endothelial cell fate commitment (GO:0060846)	3	2	.01	+	 > 100	4.03E-05	1.42E-03
blood vessel endothelial cell fate specification (GO:0097101)	3	2	.01	+	 > 100	4.03E-05	1.42E-03
fungiform papilla formation (GO:0061198)	3	2	.01	+	 > 100	4.03E-05	1.41E-03
blood vessel endothelial cell differentiation (GO:0060837)	8	5	.02	+	 > 100	3.47E-11	5.61E-09
positive regulation of transcription of Notch receptor target (GO:0007221)	7	4	.01	+	 > 100	4.84E-09	4.49E-07
negative regulation of inner ear receptor cell differentiation (GO:2000981)	4	2	.01	+	 > 100	6.04E-05	2.03E-03
negative regulation of mechanoreceptor differentiation (GO:0045632)	4	2	.01	+	 > 100	6.04E-05	2.03E-03
negative regulation of inner ear auditory receptor cell differentiation (GO:0045608)	4	2	.01	+	 > 100	6.04E-05	2.02E-03
regulation of centromeric sister chromatid cohesion (GO:0070602)	4	2	.01	+	 > 100	6.04E-05	2.02E-03
canonical Wnt signaling pathway involved in regulation of cell proliferation (GO:0044340)	4	2	.01	+	 > 100	6.04E-05	2.01E-03
canonical Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation (GO:1904954)	4	2	.01	+	 > 100	6.04E-05	2.01E-03
positive regulation of dopaminergic neuron differentiation (GO:1904340)	4	2	.01	+	 > 100	6.04E-05	2.00E-03
positive regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061419)	6	3	.01	+	 > 100	6.53E-07	3.76E-05
endothelial cell fate specification (GO:0060847)	4	2	.01	+	 > 100	6.04E-05	2.00E-03
muscular septum morphogenesis (GO:0003150)	4	2	.01	+	 > 100	6.04E-05	2.00E-03
somatic diversification of T cell receptor genes (GO:0002568)	5	2	.01	+	 > 100	8.44E-05	2.68E-03
compartment pattern specification (GO:0007386)	5	2	.01	+	 > 100	8.44E-05	2.68E-03
